"word","2013-2016","year","proportion"
"'",9.00195342389298e-06,"2017-2020",NA
"a",0.000229549812309271,"2017-2020",0.000357827648599746
"aa",1.35029301358395e-05,"2017-2020",2.25048835597325e-06
"aaa",1.57534184918127e-05,"2017-2020",2.25048835597325e-06
"aaafivediamond",4.50097671194649e-06,"2017-2020",NA
"aaanews",6.75146506791974e-06,"2017-2020",NA
"aaapgs",2.25048835597325e-06,"2017-2020",NA
"aaceallaigh",2.25048835597325e-06,"2017-2020",NA
"aacrowellt",9.00195342389298e-06,"2017-2020",NA
"aahs",2.25048835597325e-06,"2017-2020",NA
"aajichsqtp",NA,"2017-2020",2.25048835597325e-06
"aajvsvqhw",2.25048835597325e-06,"2017-2020",NA
"aajxdf",2.25048835597325e-06,"2017-2020",NA
"aak",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"aakash",2.25048835597325e-06,"2017-2020",NA
"aakbunw",NA,"2017-2020",2.25048835597325e-06
"aalsqngha",2.25048835597325e-06,"2017-2020",NA
"aalucero",2.25048835597325e-06,"2017-2020",NA
"aalvksfhfi",NA,"2017-2020",2.25048835597325e-06
"aambgghhyr",NA,"2017-2020",4.50097671194649e-06
"aanders",2.25048835597325e-06,"2017-2020",NA
"aandreakis",2.25048835597325e-06,"2017-2020",NA
"aanvuqjfwh",NA,"2017-2020",2.25048835597325e-06
"aanxirujjd",2.25048835597325e-06,"2017-2020",NA
"aanybghvcv",2.25048835597325e-06,"2017-2020",NA
"aapsonline",NA,"2017-2020",2.25048835597325e-06
"aaqq",NA,"2017-2020",2.25048835597325e-06
"aarnold",2.25048835597325e-06,"2017-2020",NA
"aaron",1.12524417798662e-05,"2017-2020",2.25048835597325e-06
"aaronmcallorum",4.50097671194649e-06,"2017-2020",NA
"aaronpha",2.25048835597325e-06,"2017-2020",NA
"aaronrupe",2.25048835597325e-06,"2017-2020",NA
"aaronschock",2.25048835597325e-06,"2017-2020",NA
"aaronsmithcnn",2.25048835597325e-06,"2017-2020",NA
"aarranmcpherson",2.25048835597325e-06,"2017-2020",NA
"aasu",NA,"2017-2020",2.25048835597325e-06
"aaszkler",4.50097671194649e-06,"2017-2020",NA
"aatl",2.25048835597325e-06,"2017-2020",NA
"aattabfoxx",2.25048835597325e-06,"2017-2020",NA
"aawsat",2.25048835597325e-06,"2017-2020",NA
"aax",NA,"2017-2020",2.25048835597325e-06
"aaylctcy",NA,"2017-2020",2.25048835597325e-06
"aazw",NA,"2017-2020",2.25048835597325e-06
"ab",9.00195342389298e-06,"2017-2020",2.25048835597325e-06
"abacgnkn",2.25048835597325e-06,"2017-2020",NA
"abaco",NA,"2017-2020",2.25048835597325e-06
"abaker",2.25048835597325e-06,"2017-2020",NA
"abaldwin",2.25048835597325e-06,"2017-2020",NA
"abandon",1.12524417798662e-05,"2017-2020",1.8003906847786e-05
"abandoned",2.02543952037592e-05,"2017-2020",2.7005860271679e-05
"abangmercy",2.25048835597325e-06,"2017-2020",NA
"abanoubabdel",2.25048835597325e-06,"2017-2020",NA
"abaondon",NA,"2017-2020",2.25048835597325e-06
"abbas",NA,"2017-2020",6.75146506791974e-06
"abbasjaf",2.25048835597325e-06,"2017-2020",NA
"abbeyashir",2.25048835597325e-06,"2017-2020",NA
"abbeylynnmangus",2.25048835597325e-06,"2017-2020",NA
"abbott",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"abbottabad",2.25048835597325e-06,"2017-2020",NA
"abbydnyc",2.25048835597325e-06,"2017-2020",NA
"abbysullz",2.25048835597325e-06,"2017-2020",NA
"abc",0.000168786626697993,"2017-2020",0.000155283696562154
"abc's",2.25048835597325e-06,"2017-2020",NA
"abcfamily",4.50097671194649e-06,"2017-2020",NA
"abcinsc",4.50097671194649e-06,"2017-2020",NA
"abcnetwork",2.25048835597325e-06,"2017-2020",NA
"abcnews",4.50097671194649e-06,"2017-2020",6.75146506791974e-06
"abcnewsradio",NA,"2017-2020",2.25048835597325e-06
"abcpolitics",1.57534184918127e-05,"2017-2020",4.50097671194649e-06
"abcsharktank",4.50097671194649e-06,"2017-2020",NA
"abcwashington",2.25048835597325e-06,"2017-2020",NA
"abcworldnews",NA,"2017-2020",1.35029301358395e-05
"abd",4.50097671194649e-06,"2017-2020",NA
"abdeslam",2.25048835597325e-06,"2017-2020",NA
"abdicate",NA,"2017-2020",2.25048835597325e-06
"abdo",NA,"2017-2020",2.25048835597325e-06
"abdosrzazo",2.25048835597325e-06,"2017-2020",NA
"abducted",NA,"2017-2020",2.25048835597325e-06
"abdul",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"abdullah",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"abdulmalikm",2.25048835597325e-06,"2017-2020",NA
"abe",NA,"2017-2020",9.45205109508763e-05
"abedin",6.75146506791974e-06,"2017-2020",2.25048835597325e-06
"abedini",1.57534184918127e-05,"2017-2020",NA
"abel",2.25048835597325e-06,"2017-2020",NA
"abelerner",2.25048835597325e-06,"2017-2020",NA
"aberdeedshire",2.25048835597325e-06,"2017-2020",NA
"aberdeen",0.000110273929442689,"2017-2020",NA
"aberdeencc",2.25048835597325e-05,"2017-2020",NA
"aberdeenshire",4.72602554754382e-05,"2017-2020",NA
"aberdeenshire's",2.25048835597325e-06,"2017-2020",NA
"aberdeenshirecc",4.50097671194649e-06,"2017-2020",NA
"aberdonian",2.25048835597325e-06,"2017-2020",NA
"abeshinzo",NA,"2017-2020",6.75146506791974e-05
"abethbyr",2.25048835597325e-06,"2017-2020",NA
"abfalecbaldwin",2.25048835597325e-06,"2017-2020",NA
"abfieyy",NA,"2017-2020",2.25048835597325e-06
"abhishek",2.25048835597325e-06,"2017-2020",NA
